epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8914,0.99504,2.93313,1.31698,0.00333,1,0.56742,0.41992,0.57904,3.03201,0.98704,0.00018,0.00018,0.00018
2,73.8727,0.89788,2.00242,1.20567,0.93318,0.55865,0.82294,0.63016,0.60673,2.74271,0.97311,0.000372476,0.000372476,0.000372476
3,104.945,0.95139,1.79953,1.23843,0.90299,0.12439,0.81527,0.60361,0.71423,2.75557,1.02608,0.000557032,0.000557032,0.000557032
4,140.473,0.9619,1.758,1.24597,0.94793,0.24284,0.81948,0.61937,0.73876,2.71369,1.0476,0.000733668,0.000733668,0.000733668
5,167.696,0.87188,1.58318,1.16181,0.63743,0.65638,0.70514,0.43084,0.94207,2.57372,1.29094,0.000902384,0.000902384,0.000902384
6,204.083,1.096,2.06696,1.38838,0.71296,0.56,0.66591,0.41099,0.98719,2.73105,1.37326,0.00106318,0.00106318,0.00106318
7,239.643,0.99294,1.6235,1.18352,0.67557,0.64,0.68252,0.4223,1.01069,2.59864,1.4153,0.00121606,0.00121606,0.00121606
8,276.245,0.97158,1.60107,1.26721,0.79034,0.68,0.7741,0.50142,1.08566,2.33435,1.55202,0.00136101,0.00136101,0.00136101
9,315.731,0.88332,1.37997,1.17033,0.77419,0.65333,0.7565,0.53304,1.09401,2.2187,1.55778,0.00149805,0.00149805,0.00149805
10,352.601,0.88369,1.32772,1.19805,0.86839,0.62667,0.77901,0.51539,1.23647,2.24036,1.62154,0.00162716,0.00162716,0.00162716
11,389.256,0.95263,1.45589,1.18314,0.62718,0.68,0.60088,0.36194,1.26786,3.38366,1.68558,0.001604,0.001604,0.001604
12,425.628,1.03102,1.52743,1.32913,0.86952,0.79967,0.90873,0.61314,1.0067,2.32199,1.29714,0.0015644,0.0015644,0.0015644
13,476.192,0.96525,1.49397,1.22319,0.83073,0.76,0.87377,0.63983,0.91481,1.88446,1.20159,0.0015248,0.0015248,0.0015248
14,523.356,0.95543,1.2976,1.22713,0.78923,0.84881,0.90177,0.65815,0.87455,2.1831,1.17847,0.0014852,0.0014852,0.0014852
15,564.968,0.94878,1.30117,1.235,0.81961,0.90871,0.93894,0.67232,0.89918,2.50135,1.23366,0.0014456,0.0014456,0.0014456
16,607.845,0.9135,1.26706,1.20627,0.89418,0.90136,0.95205,0.71532,0.85124,2.06984,1.16688,0.001406,0.001406,0.001406
17,647.591,0.95904,1.2604,1.23439,0.84283,0.85806,0.92633,0.69967,0.84251,1.76523,1.13126,0.0013664,0.0013664,0.0013664
18,686.724,0.92624,1.18985,1.14857,0.71545,0.83812,0.82073,0.58695,0.9087,2.01895,1.22288,0.0013268,0.0013268,0.0013268
19,726.332,0.89415,1.19248,1.21024,0.75526,0.90523,0.89016,0.64838,0.91533,1.83158,1.24872,0.0012872,0.0012872,0.0012872
20,767.76,0.95129,1.19289,1.23291,0.87739,0.85333,0.92126,0.68972,0.84127,1.7278,1.19809,0.0012476,0.0012476,0.0012476
21,807.886,0.99205,1.25982,1.24812,0.88479,0.84,0.94809,0.73012,0.8625,1.65585,1.16384,0.001208,0.001208,0.001208
22,846.356,0.88257,1.06676,1.13181,0.89238,0.88455,0.95291,0.75792,0.77467,1.58409,1.10695,0.0011684,0.0011684,0.0011684
23,887.191,0.92455,1.14125,1.19439,0.88251,0.90138,0.96205,0.78279,0.76281,1.3992,1.11281,0.0011288,0.0011288,0.0011288
24,928.692,0.8528,1.04585,1.16727,0.94651,0.94374,0.98444,0.79119,0.74372,1.31792,1.09168,0.0010892,0.0010892,0.0010892
25,970.164,0.88464,1.14391,1.18608,0.96305,0.92,0.97892,0.77968,0.74898,1.32404,1.08445,0.0010496,0.0010496,0.0010496
26,1010.18,0.83076,1.03277,1.16003,0.92119,0.89333,0.96857,0.78043,0.74022,1.20819,1.06939,0.00101,0.00101,0.00101
27,1051.16,0.77147,0.98251,1.08898,0.97323,0.96964,0.98657,0.8253,0.6515,1.02772,1.00346,0.0009704,0.0009704,0.0009704
28,1090.85,0.79556,0.90384,1.14345,0.98648,0.97295,0.99206,0.8265,0.62834,0.98013,0.98224,0.0009308,0.0009308,0.0009308
29,1130.7,0.83822,0.9781,1.15587,0.97362,0.98434,0.99008,0.82005,0.65514,0.97994,0.99914,0.0008912,0.0008912,0.0008912
30,1169.94,0.87922,1.04895,1.13702,0.97344,0.97747,0.99278,0.80495,0.69451,0.98347,1.0132,0.0008516,0.0008516,0.0008516
31,1210.41,0.75971,0.88803,1.07643,0.97358,0.98281,0.99125,0.82165,0.67732,0.95495,0.9976,0.000812,0.000812,0.000812
32,1250.93,0.75959,0.87052,1.08687,0.96888,0.97333,0.99178,0.8328,0.65569,0.92513,0.97823,0.0007724,0.0007724,0.0007724
33,1292.1,0.81879,0.88537,1.12459,0.94615,1,0.99265,0.83639,0.63307,0.93461,0.96458,0.0007328,0.0007328,0.0007328
34,1331.96,0.81709,0.92965,1.15844,0.99568,0.97333,0.99448,0.82636,0.6296,0.91848,0.96654,0.0006932,0.0006932,0.0006932
35,1377.3,0.74256,0.83877,1.06512,0.98394,1,0.99447,0.8368,0.62951,0.90892,0.96407,0.0006536,0.0006536,0.0006536
